
<Log started at 08-08-2022, 09:07:57.558>
09:07:57.593: 🐙 AzimuthSuite v1.0.0.0 
09:07:57.924: Loading settings from AzimuthSuit.settings
09:07:58.025: Current application settings:
09:07:58.028: 
-- UseAUXGNSSCompas: True
-- AUXGNSSCompasBaudrate: baudRate38400
-- IsUseOutputport: False
-- OutPortBaudrate: baudRate9600
-- RemoteAddressToOutput: REM_ADDR_1
-- HeadingAdjust_deg: 0
-- LongitudalOffset_m: 0
-- TransverseOffset_m: 0
-- Salinity_PSU: 0
-- AddressMask: 1
-- MaxDist_m: 500
09:08:10.030: IsActive=True
09:09:03.867: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,16.5,-0.001212,-1.8,,0.0,274.0,90.0,1061.16,25.6,,2.6,1.8
09:09:03.902: INFO: COM6 (GNSS) >> $HEHDT,340.23,T*19
09:09:03.997: INFO: COM6 (GNSS) >> $HEHDT,339.93,T*1C
09:09:04.094: INFO: COM6 (GNSS) >> $HEHDT,339.62,T*12
09:09:04.221: INFO: COM6 (GNSS) >> $HEHDT,339.35,T*10
09:09:04.221: INFO: COM6 (GNSS) >> $HEROT,-148.0,A*0B
09:09:04.221: INFO: COM6 (GNSS) >> $GPGNS,060905.00,4830.0879681,N,04433.2369017,E,A,17,0.7,-1.235,3.763,,,S*64
09:09:04.252: INFO: COM6 (GNSS) >> $GNGNS,060905.00,4830.0879681,N,04433.2369017,E,AAA,17,0.7,-1.235,3.763,,,S*7A
09:09:04.252: INFO: COM6 (GNSS) >> $GPGNS,060905.00,,,,,,9,,,,,,S*2F
09:09:04.283: INFO: COM6 (GNSS) >> $GLGNS,060905.00,,,,,,1,,,,,,S*3B
09:09:04.283: INFO: COM6 (GNSS) >> $GAGNS,060905.00,,,,,,2,,,,,,S*35
09:09:04.299: INFO: COM6 (GNSS) >> $GPHEV,0.90,*5B
09:09:04.299: INFO: COM6 (GNSS) >> $GPRMC,060905.00,A,4830.0879681,N,04433.2369017,E,0.33,340.46,080822,9.6,E,A,S*44
09:09:04.299: INFO: COM6 (GNSS) >> $HEHDT,339.03,T*15
09:09:04.395: INFO: COM6 (GNSS) >> $HEHDT,338.75,T*15
09:09:04.507: INFO: COM6 (GNSS) >> $HEHDT,338.46,T*15
09:09:04.603: INFO: COM6 (GNSS) >> $HEHDT,338.15,T*13
09:09:04.651: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,17.3,-0.001162,-1.7,,0.0,85.5,90.0,1061.58,25.6,,2.0,1.8
09:09:04.699: INFO: COM6 (GNSS) >> $HEHDT,337.76,T*19
09:09:04.794: INFO: COM6 (GNSS) >> $HEHDT,337.42,T*1E
09:09:04.906: INFO: COM6 (GNSS) >> $HEHDT,337.05,T*1D
09:09:05.003: INFO: COM6 (GNSS) >> $HEHDT,336.84,T*15
09:09:05.099: INFO: COM6 (GNSS) >> $HEHDT,336.56,T*1A
09:09:05.195: INFO: COM6 (GNSS) >> $HEHDT,336.33,T*19
09:09:05.226: INFO: COM6 (GNSS) >> $HEROT,-160.6,A*07
09:09:05.226: INFO: COM6 (GNSS) >> $GPGNS,060906.00,4830.0880562,N,04433.2368575,E,A,18,0.7,-1.233,3.763,,,S*66
09:09:05.257: INFO: COM6 (GNSS) >> $GPGNS,060906.00,,,,,,9,,,,,,S*2C
09:09:05.257: INFO: COM6 (GNSS) >> $GNGNS,060906.00,4830.0880562,N,04433.2368575,E,AAA,18,0.7,-1.233,3.763,,,S*78
09:09:05.288: INFO: COM6 (GNSS) >> $GLGNS,060906.00,,,,,,1,,,,,,S*38
09:09:05.288: INFO: COM6 (GNSS) >> $GAGNS,060906.00,,,,,,3,,,,,,S*37
09:09:05.304: INFO: COM6 (GNSS) >> $GPRMC,060906.00,A,4830.0880562,N,04433.2368575,E,0.31,345.91,080822,9.6,E,A,S*42
09:09:05.304: INFO: COM6 (GNSS) >> $GPHEV,0.86,*5C
09:09:05.304: INFO: COM6 (GNSS) >> $HEHDT,336.03,T*1A
09:09:05.400: INFO: COM6 (GNSS) >> $HEHDT,335.72,T*1F
09:09:05.419: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,20.3,-0.002212,-3.3,,0.0,86.5,90.0,1062.16,25.6,,2.3,1.8
09:09:05.496: INFO: COM6 (GNSS) >> $HEHDT,335.42,T*1C
09:09:05.607: INFO: COM6 (GNSS) >> $HEHDT,335.17,T*1C
09:09:05.704: INFO: COM6 (GNSS) >> $HEHDT,334.89,T*1A
09:09:05.800: INFO: COM6 (GNSS) >> $HEHDT,334.59,T*17
09:09:05.896: INFO: COM6 (GNSS) >> $HEHDT,334.32,T*1A
09:09:06.007: INFO: COM6 (GNSS) >> $HEHDT,334.06,T*1D
09:09:06.104: INFO: COM6 (GNSS) >> $HEHDT,333.77,T*1C
09:09:06.199: INFO: COM6 (GNSS) >> $HEHDT,333.56,T*1F
09:09:06.200: INFO: COM6 (GNSS) >> $HEROT,-169.0,A*08
09:09:06.202: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,20.6,-0.001112,-1.6,,0.0,86.5,90.0,1061.09,25.6,,-1.5,1.4
09:09:06.246: INFO: COM6 (GNSS) >> $GPGNS,060907.00,4830.0881395,N,04433.2368325,E,A,18,0.7,-1.279,3.763,,,S*65
09:09:06.246: INFO: COM6 (GNSS) >> $GNGNS,060907.00,4830.0881395,N,04433.2368325,E,AAA,18,0.7,-1.279,3.763,,,S*7B
09:09:06.277: INFO: COM6 (GNSS) >> $GPGNS,060907.00,,,,,,9,,,,,,S*2D
09:09:06.277: INFO: COM6 (GNSS) >> $GLGNS,060907.00,,,,,,1,,,,,,S*39
09:09:06.277: INFO: COM6 (GNSS) >> $GAGNS,060907.00,,,,,,3,,,,,,S*36
09:09:06.308: INFO: COM6 (GNSS) >> $GPRMC,060907.00,A,4830.0881395,N,04433.2368325,E,0.22,350.01,080822,9.6,E,A,S*40
09:09:06.308: INFO: COM6 (GNSS) >> $GPHEV,0.77,*52
09:09:06.308: INFO: COM6 (GNSS) >> $HEHDT,333.47,T*1F
09:09:06.404: INFO: COM6 (GNSS) >> $HEHDT,333.29,T*17
09:09:06.500: INFO: COM6 (GNSS) >> $HEHDT,333.20,T*1E
09:09:06.597: INFO: COM6 (GNSS) >> $HEHDT,333.08,T*14
09:09:06.692: INFO: COM6 (GNSS) >> $HEHDT,333.02,T*1E
09:09:06.805: INFO: COM6 (GNSS) >> $HEHDT,332.86,T*13
09:09:06.900: INFO: COM6 (GNSS) >> $HEHDT,332.74,T*1E
09:09:06.986: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,19.9,-0.002187,-3.2,,0.0,86.5,90.0,1061.21,25.6,,4.0,-0.6
09:09:06.996: INFO: COM6 (GNSS) >> $HEHDT,332.59,T*11
09:09:07.108: INFO: COM6 (GNSS) >> $HEHDT,332.44,T*1D
